spec,phi,phi_se,Delta_base,Delta_base_se,kappa,kappa_se,J,J_p,N,converged
covs_0,-2.225424946338006,.1010917302488481,.8653371130270663,.0655733062226695,11.09251456586495,.0355536867866541,63.53598719765387,.,69447,Y
covs_trend,.7954421310816867,.357387698800496,-.0342255577530153,.0428499732389929,10.93305360916176,.0343974768634023,35.87342569873293,.,69447,Y
covs_1,.8095358507161929,.3636812022033461,-.0340237083913975,.0429365203121719,10.93433291987592,.0345402300511,35.81915888219105,.,69445,Y
covs_2,.8046107058191478,.3598994382669463,-.0307294431120043,.0425952512949875,10.89660505675841,.0350613779835257,30.54377817240512,.,69445,Y
covs_all,-.5256257839300001,.101848804174692,.067237035036658,.0224962834549504,10.83201690798267,.0706865423043761,28.15555981499065,.,92439,Y
