name,coef,se
mu:never,11.35112688978651,.0158405557494616
mu:switcher_2,11.12871287620327,.0232781506269828
mu:switcher_3,11.45677619992896,.0612025787976193
mu:switcher_4,11.18310514884322,.024197119793992
mu:switcher_5,11.50972171746261,.0440747219126531
mu:switcher_6,11.16634870712904,.0484320291371371
mu:switcher_7,11.42420015848748,.0837189848635213
mu:switcher_8,11.21858052585081,.0245287020254905
mu:switcher_9,11.5790229222839,.0396932958112248
mu:switcher_10,11.30649866287624,.0564477012752255
mu:switcher_11,20.39262344460231,8.939799094361339
mu:switcher_12,11.30635920069487,.0429481557963762
mu:switcher_13,11.57851031184162,.0442597236737228
mu:switcher_14,11.2875070522384,.0787835294173446
mu:switcher_15,11.46085809705565,.0476844334715282
mu:switcher_16,11.22167595482227,.0270785322911065
mu:switcher_17,11.73444889611831,.0366672652050327
mu:switcher_18,11.49397148656744,.0545697379750563
mu:switcher_19,11.49235467023972,.0422824440026804
mu:switcher_20,11.32965152749941,.0352039715024186
mu:switcher_21,11.52434918924549,.0678282118448091
mu:switcher_22,11.45824278568607,.0634634355189065
mu:switcher_23,11.52141351683509,.0759949011912766
mu:switcher_24,11.3814360132993,.0254795448296707
mu:switcher_25,11.69312817482329,.0559662831842834
mu:switcher_26,11.48251094012183,.063898846689359
mu:switcher_27,11.42195205884335,.049641742282287
mu:switcher_28,11.37835211234041,.0352684825419907
mu:switcher_29,11.78999090966984,.0615724715805099
mu:switcher_30,11.50367092923932,.0467118888712831
mu:switcher_31,11.09932730469777,.1258538838441881
Delta_base:_cons,.8483075961609827,.0472709291504662
phi:_cons,-2.445469542620093,.0704574065695311
kappa:_cons,11.28753291886754,.0291383815984519
xb:unbalanced,11.37151246783156,.0050272161959578
xb:unbalanced_choice,-.4711791535405895,.0478343077887608
