phi,p_val32,p_val43,p_val54,p_val65,p_val76,p_val_joint,test_type,add,not_sig32,min_phi32,max_phi32
-1.26,.000011759698,,,,,,joint,,0,-1.78,-1.4400001
-1.24,2.3263306e-06,,,,,,joint,,0,-1.78,-1.4400001
-1.22,3.9042195e-07,,,,,,joint,,0,-1.78,-1.4400001
-1.2,5.4888762e-08,,,,,,joint,,0,-1.78,-1.4400001
-1.1799999,6.3772987e-09,,,,,,joint,,0,-1.78,-1.4400001
-1.16,6.0353850e-10,,,,,,joint,,0,-1.78,-1.4400001
-1.14,4.5810536e-11,,,,,,joint,,0,-1.78,-1.4400001
-1.12,2.7430593e-12,,,,,,joint,,0,-1.78,-1.4400001
-1.1,1.2730478e-13,,,,,,joint,,0,-1.78,-1.4400001
-1.08,4.4937724e-15,,,,,,joint,,0,-1.78,-1.4400001
-1.0599999,1.1825309e-16,,,,,,joint,,0,-1.78,-1.4400001
-1.04,2.2707229e-18,,,,,,joint,,0,-1.78,-1.4400001
-1.02,3.1102556e-20,,,,,,joint,,0,-1.78,-1.4400001
-1,2.9664310e-22,,,,,,joint,,0,-1.78,-1.4400001
-.98000002,1.9203742e-24,,,,,,joint,,0,-1.78,-1.4400001
-.95999998,8.2135281e-27,,,,,,joint,,0,-1.78,-1.4400001
-.94,2.2558724e-29,,,,,,joint,,0,-1.78,-1.4400001
-.92000002,3.8615824e-32,,,,,,joint,,0,-1.78,-1.4400001
-.89999998,3.9930217e-35,,,,,,joint,,0,-1.78,-1.4400001
-.88,2.4141794e-38,,,,,,joint,,0,-1.78,-1.4400001
-.86000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.83999997,0,,,,,,joint,,0,-1.78,-1.4400001
-.81999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.80000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.77999997,0,,,,,,joint,,0,-1.78,-1.4400001
-.75999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.74000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.72000003,0,,,,,,joint,,0,-1.78,-1.4400001
-.69999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.68000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.66000003,0,,,,,,joint,,0,-1.78,-1.4400001
-.63999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.62,0,,,,,,joint,,0,-1.78,-1.4400001
-.60000002,0,,,,,,joint,,0,-1.78,-1.4400001
-.57999998,0,,,,,,joint,,0,-1.78,-1.4400001
-.56,0,,,,,,joint,,0,-1.78,-1.4400001
-.54000002,0,,,,,,joint,,0,-1.78,-1.4400001
-.51999998,0,,,,,,joint,,0,-1.78,-1.4400001
-.5,0,,,,,,joint,,0,-1.78,-1.4400001
-.47999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.46000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.44,0,,,,,,joint,,0,-1.78,-1.4400001
-.41999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.40000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.38,0,,,,,,joint,,0,-1.78,-1.4400001
-.36000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.34,0,,,,,,joint,,0,-1.78,-1.4400001
-.31999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.30000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.28,0,,,,,,joint,,0,-1.78,-1.4400001
-.25999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.23999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.22,0,,,,,,joint,,0,-1.78,-1.4400001
-.2,0,,,,,,joint,,0,-1.78,-1.4400001
-.18000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.16,0,,,,,,joint,,0,-1.78,-1.4400001
-.14,0,,,,,,joint,,0,-1.78,-1.4400001
-.12,0,,,,,,joint,,0,-1.78,-1.4400001
-.1,0,,,,,,joint,,0,-1.78,-1.4400001
-.079999998,0,,,,,,joint,,0,-1.78,-1.4400001
-.059999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.039999999,0,,,,,,joint,,0,-1.78,-1.4400001
-.02,0,,,,,,joint,,0,-1.78,-1.4400001
2.3939184e-15,0,,,,,,joint,,0,-1.78,-1.4400001
.02,0,,,,,,joint,,0,-1.78,-1.4400001
.039999999,0,,,,,,joint,,0,-1.78,-1.4400001
.059999999,0,,,,,,joint,,0,-1.78,-1.4400001
.079999998,0,,,,,,joint,,0,-1.78,-1.4400001
.1,0,,,,,,joint,,0,-1.78,-1.4400001
.12,0,,,,,,joint,,0,-1.78,-1.4400001
.14,0,,,,,,joint,,0,-1.78,-1.4400001
.16,0,,,,,,joint,,0,-1.78,-1.4400001
.18000001,0,,,,,,joint,,0,-1.78,-1.4400001
.2,0,,,,,,joint,,0,-1.78,-1.4400001
.22,0,,,,,,joint,,0,-1.78,-1.4400001
