phi,wald,p_value
-3.0,64.27174336640418,1.1102230246251565e-15
-2.98,63.339493024750766,1.7763568394002505e-15
-2.96,62.400939733183655,2.7755575615628914e-15
-2.94,61.45610403340425,4.551914400963142e-15
-2.92,60.50501157538405,7.327471962526033e-15
-2.9,59.54769346101143,1.199040866595169e-14
-2.88,58.58418660922281,1.942890293094024e-14
-2.86,57.61453414401175,3.186340080674199e-14
-2.84,56.63878580680903,5.240252676230739e-14
-2.82,55.65699839483187,8.626432901337466e-14
-2.8,54.669236227108314,1.4266365866433262e-13
-2.78,53.67557164000701,2.3647750424515834e-13
-2.76,52.676085514228824,3.9335201762469296e-13
-2.7399999999999998,51.67086783535651,6.5625282985593e-13
-2.7199999999999998,50.660018290207894,1.0983436382616674e-12
-2.6999999999999997,49.64364690139941,1.843636354692535e-12
-2.6799999999999997,48.621874702697404,3.10385050994455e-12
-2.6599999999999997,47.594834457925195,5.2405857431381264e-12
-2.6399999999999997,46.56267142639018,8.873457524316564e-12
-2.6199999999999997,45.525544178014655,1.5066059511070762e-11
-2.5999999999999996,44.48362546158613,2.564937151561253e-11
-2.5799999999999996,43.43710312979415,4.378075679767335e-11
-2.5599999999999996,42.386181124993755,7.491751663479818e-11
-2.5399999999999996,41.33108052992581,1.2850920327878157e-10
-2.5199999999999996,40.272040687942415,2.209484817328189e-10
-2.4999999999999996,39.209320397627565,3.807184567605759e-10
-2.4799999999999995,38.14319918706986,6.573847022295354e-10
-2.4599999999999995,37.07397867344422,1.1373134656267325e-09
-2.4399999999999995,36.00198401398958,1.971167229442017e-09
-2.4199999999999995,34.927565454935454,3.422016670029393e-09
-2.3999999999999995,33.851099985433656,5.9495444126866914e-09
-2.3799999999999994,32.77299310409696,1.035738805832409e-08
-2.3599999999999994,31.693680706335517,1.8050859251772522e-08
-2.3399999999999994,30.613631101321584,3.1487377372130254e-08
-2.3199999999999994,29.533347168102193,5.4962860485119336e-08
-2.2999999999999994,28.453368661132604,9.598261574428335e-08
-2.2799999999999994,27.374274676309902,1.6764667520874355e-07
-2.2599999999999993,26.296686289469903,2.9279061120046634e-07
-2.2399999999999993,25.221269380262378,5.111536409696527e-07
-2.2199999999999993,24.148737655353358,8.917460179169723e-07
-2.1999999999999993,23.079855886027207,1.554104003820278e-06
-2.1799999999999993,22.0154433764754,2.704654732621492e-06
-2.1599999999999993,20.956377680382698,4.69861003993266e-06
-2.1399999999999992,19.90359858485197,8.144687221434133e-06
-2.119999999999999,18.858112382267944,1.408109642475619e-05
-2.099999999999999,17.820996452387313,2.4269034716084548e-05
-2.079999999999999,16.793404178780275,4.167791663345355e-05
-2.059999999999999,15.776570225739011,7.1279773604771e-05
-2.039999999999999,14.771816203934131,0.00012133549363402274
-2.019999999999999,13.780556755452526,0.00020545153672324457
-1.9999999999999991,12.804306091400507,0.0003458224587277181
-1.979999999999999,11.844685018034724,0.000578261557880988
-1.959999999999999,10.903428490393008,0.0009598643684027852
-1.939999999999999,9.982393735671483,0.00158044092756493
-1.919999999999999,9.083568992147637,0.0025791621714453816
-1.899999999999999,8.209082913307146,0.00416812122095056
-1.879999999999999,7.36121469101913,0.00666457532270881
-1.859999999999999,6.542404956149251,0.01053328590851732
-1.839999999999999,5.755267519925594,0.016439292252797166
-1.819999999999999,5.0026020247149585,0.025309241800858806
-1.799999999999999,4.28740757865177,0.03839566778426762
-1.779999999999999,3.6128974548257426,0.05733314957184765
-1.759999999999999,2.982514942507006,0.08416839441591606
-1.7399999999999989,2.399950445205632,0.1213390940131992
-1.7199999999999989,1.86915992825901,0.17157132497874783
-1.6999999999999988,1.394384827148807,0.23766600079406064
-1.6799999999999988,0.9801735369021917,0.3221559664541307
-1.6599999999999988,0.6314046127598711,0.4268405604022971
-1.6399999999999988,0.3533118228190417,0.5522443481507671
-1.6199999999999988,0.15151120460652603,0.6970953600922924
-1.5999999999999988,0.032030289514348075,0.8579611951027679
-1.5799999999999987,0.001339671738190118,0.9708027264193269
-1.5599999999999987,0.06638711178478238,0.796671661568151
-1.5399999999999987,0.23463437872105788,0.6281085964775521
-1.5199999999999987,0.5140970500679466,0.4733706328429469
-1.4999999999999987,0.91338750350152,0.3392172091428465
-1.4799999999999986,1.441761350181181,0.2298545282643627
-1.4599999999999986,2.10916757539148,0.14641894568041103
-1.4399999999999986,2.926302668012241,0.08714686348106926
