variable,n,mean,sd,min,max
lndepvar,92450.0,11.545345649862254,0.8490123472448559,8.773847204541248,14.677374798179516
choice,92450.0,0.47383450513791237,0.49931759799426595,0.0,1.0
unbalanced,92450.0,0.8227041363716125,0.3817789554595947,0.0,1.0
period,92450.0,3.3103948080043266,1.2479446290781704,1.0,5.0
consumption,92450.0,231419.5006131285,227910.02793093846,12254.24150043248,2387777.939015413
hhsize_cube,92450.0,1.6371781826019287,0.2567462921142578,1.0,2.7144176959991455
