name,coef_py,se_py
mu:never,11.351128808948209,0.01584055562968372
mu:switcher_2,11.131479869347851,0.025735575604968374
mu:switcher_3,11.457214035042895,0.061893553073702104
mu:switcher_4,11.187566169145747,0.026010768677294155
mu:switcher_5,11.51412129060146,0.04689796674677935
mu:switcher_6,11.170572063088095,0.049203867407697256
mu:switcher_7,11.428836024648762,0.08441735465360724
mu:switcher_8,11.222584660709993,0.025536854821154604
mu:switcher_9,11.587420592981038,0.04471924046302506
mu:switcher_10,11.31265132012623,0.056544436042279045
mu:switcher_11,162.9293583043252,152.90438342514165
mu:switcher_12,11.311687694883025,0.04297094382210469
mu:switcher_13,11.588870666154254,0.05023567429968463
mu:switcher_14,11.25813050331238,0.077618468177346
mu:switcher_15,11.467771814444637,0.050939806984887266
mu:switcher_16,11.22225500172336,0.028119714709311
mu:switcher_17,11.746506053108728,0.04666458085079937
mu:switcher_18,11.498246991886358,0.05626279446996857
mu:switcher_19,11.500446878214797,0.04781623330234478
mu:switcher_20,11.334527608294643,0.03527132961402203
mu:switcher_21,11.528961008859245,0.07040315926309501
mu:switcher_22,11.483427398713241,0.06470514361636381
mu:switcher_23,11.538302132528573,0.07645520129882133
mu:switcher_24,11.386919290765485,0.026226214445970317
mu:switcher_25,11.69840557848212,0.06384490851489874
mu:switcher_26,11.487177952515838,0.06554859214314977
mu:switcher_27,10.90633476799461,0.1082445282860291
mu:switcher_28,11.396181435878674,0.03579665262046847
mu:switcher_29,11.799099575569091,0.07317339780468023
mu:switcher_30,11.567922671884377,0.049759648374206746
mu:switcher_31,11.652323753443147,0.06064741409353723
kappa:_cons,11.29522334014534,0.029206565298193564
Delta_base:_cons,0.8521941166074204,0.04772701916606404
phi:_cons,-2.442657868382964,0.1943343329710358
xb:unbalanced,11.371512464029369,0.005027216465347393
xb:unbalanced_choice,-0.47506573105119576,0.04828454360091595
