idx,name,value
1,mu:never,11.35112688978651
2,mu:switcher_2,11.16242407470919
3,mu:switcher_3,11.47283068890384
4,mu:switcher_4,11.2028942725219
5,mu:switcher_5,11.51515489094225
6,mu:switcher_6,11.18431794058131
7,mu:switcher_7,11.41848210665972
8,mu:switcher_8,11.25753865537697
9,mu:switcher_9,11.51993319018983
10,mu:switcher_10,11.3144174111825
11,mu:switcher_11,11.44125871964889
12,mu:switcher_12,11.30231820913192
13,mu:switcher_13,11.54838659442463
14,mu:switcher_14,11.34014591187603
15,mu:switcher_15,11.43600962599353
16,mu:switcher_16,11.29086131153241
17,mu:switcher_17,11.67030170651893
18,mu:switcher_18,11.48761077945671
19,mu:switcher_19,11.46888948661204
20,mu:switcher_20,11.3294577656824
21,mu:switcher_21,11.50565928185792
22,mu:switcher_22,11.40552549328018
23,mu:switcher_23,11.42605794435087
24,mu:switcher_24,11.36471399624452
25,mu:switcher_25,11.6635440741031
26,mu:switcher_26,11.465337249494
27,mu:switcher_27,11.4377953462574
28,mu:switcher_28,11.31244179952766
29,mu:switcher_29,11.71586140144203
30,mu:switcher_30,11.38824750715333
31,mu:switcher_31,11.42495678796824
32,Delta_base:_cons,.8178565937941733
33,phi:_cons,-2.687497761123288
34,kappa:_cons,11.30040719040696
35,xb:unbalanced,11.37151246783156
36,xb:unbalanced_choice,-.4407281511737808
