row,col,value
1,1,.0002509232064518
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
2,1,0
2,2,.0005418722966125
2,3,.0001310054428856
2,4,.0002153272503529
2,5,.0001547147145798
2,6,.000203974716083
2,7,.0001748720077478
2,8,.0002172137995423
2,9,.0001533991517259
2,10,.0002595633324961
2,11,.0323743911938182
2,12,.0002174382195632
2,13,.0001733384141621
2,14,.0002139694322992
2,15,.0002044877392641
2,16,.0002368923423675
2,17,.000119269148082
2,18,.0001504697114263
2,19,.0002011887581926
2,20,.000202895322171
2,21,.0001526824898681
2,22,.0001992644483927
2,23,.0001241002725957
2,24,.000212009667686
2,25,.0001486588161501
2,26,.0001646100527834
2,27,.0002497441065457
2,28,.0002157703120392
2,29,.0001388424983892
2,30,.0001937379135868
2,31,.0003938238244476
2,32,-.0007899200976461
2,33,-.0003351302901458
2,34,.0003334464535986
2,35,5.34700232477e-18
2,36,.0007899200975907
3,1,0
3,2,.0001310054428856
3,3,.0037457556514788
3,4,.0001686734759648
3,5,.000177439038915
3,6,.0001568122160587
3,7,.0001808279454453
3,8,.0001770906112866
3,9,.0001918552023287
3,10,.0002338690589804
3,11,-.0282582665163632
3,12,.0001958885864882
3,13,.0002166487085369
3,14,.0001887904257145
3,15,.0002209669085833
3,16,.0001938590408779
3,17,.0001832820703788
3,18,.0001692678790968
3,19,.0002258653442861
3,20,.000187761639931
3,21,.0001783017015348
3,22,.0002146752700235
3,23,.0001444201195038
3,24,.0002084142512027
3,25,.0002158331956206
3,26,.0001826029610508
3,27,.0002575192071658
3,28,.0002114122349411
3,29,.0002305698632673
3,30,.000220597797147
3,31,.0003740939797121
3,32,.0000742031205856
3,33,.0001911002163753
3,34,.0002939691726992
3,35,-4.12452242422e-19
3,36,-.0000742031205804
4,1,0
