variable,n,mean,sd,min,max
lndepvar,92450,11.54534564879084,.8490123473275258,8.773847579956055,14.67737483978271
choice,93038,.4736344289430126,.4993070561229158,0,1
unbalanced,93038,.8235129731937488,.3812360401937485,0,1
period,93038,3.312807669984307,1.245559665552082,1,5
consumption,93038,231060.1437146053,227581.9825081255,12254.24150043248,2387777.939015413
hhsize_cube,92450,1.637178279587615,.2567215360437604,1,2.714417695999146
