name_stata,coef,se,name_norm,name_py,coef_py,se_py,delta_coef,delta_se
mu:never,11.35112688978651,0.0158405557494616,mu:never,mu:never,11.351128422281189,0.0158405556405464,-1.5324946787131921e-06,1.0891519977573871e-10
mu:switcher_2,11.12871287620327,0.0232781506269828,mu:switcher_2,mu:switcher_2,11.132592256163608,0.0258525025330528,-0.0038793799603382695,-0.0025743519060699993
mu:switcher_3,11.45677619992896,0.0612025787976193,mu:switcher_3,mu:switcher_3,11.455854749719387,0.0613239625401142,0.0009214502095726829,-0.00012138374249490158
mu:switcher_4,11.18310514884322,0.024197119793992,mu:switcher_4,mu:switcher_4,11.18898300571136,0.0260360861086079,-0.005877856868140796,-0.0018389663146159002
mu:switcher_5,11.50972171746261,0.0440747219126531,mu:switcher_5,mu:switcher_5,11.512623985465089,0.0458579401077112,-0.0029022680024795022,-0.0017832181950580978
mu:switcher_6,11.16634870712904,0.0484320291371371,mu:switcher_6,mu:switcher_6,11.171892630672184,0.0492479124785196,-0.005543923543143592,-0.0008158833413824951
mu:switcher_7,11.42420015848748,0.0837189848635213,mu:switcher_7,mu:switcher_7,11.427970253297923,0.0835181945036253,-0.003770094810443325,0.00020079035989600813
mu:switcher_8,11.21858052585081,0.0245287020254905,mu:switcher_8,mu:switcher_8,11.223752129451473,0.0255066663944622,-0.005171603600663488,-0.0009779643689716983
mu:switcher_9,11.5790229222839,0.0396932958112248,mu:switcher_9,mu:switcher_9,11.585535243765404,0.0440929297334836,-0.006512321481505268,-0.004399633922258804
mu:switcher_10,11.30649866287624,0.0564477012752255,mu:switcher_10,mu:switcher_10,11.312853838837873,0.0559145966202793,-0.0063551759616320425,0.000533104654946201
mu:switcher_11,20.39262344460231,8.939799094361339,mu:switcher_11,mu:switcher_11,11.380009227291604,1.885975647544856,9.012614217310707,7.053823446816483
mu:switcher_12,11.30635920069487,0.0429481557963762,mu:switcher_12,mu:switcher_12,11.311816048355936,0.0426176428985678,-0.005456847661067243,0.0003305128978084021
mu:switcher_13,11.57851031184162,0.0442597236737228,mu:switcher_13,mu:switcher_13,11.587027122899032,0.0493571322808722,-0.008516811057411644,-0.005097408607149398
mu:switcher_14,11.2875070522384,0.0787835294173446,mu:switcher_14,mu:switcher_14,11.2618667488657,0.0770848492098543,0.0256403033727004,0.0016986802074902968
mu:switcher_15,11.46085809705565,0.0476844334715282,mu:switcher_15,mu:switcher_15,11.466292174333452,0.0490685716914936,-0.005434077277801208,-0.0013841382199654
mu:switcher_16,11.22167595482227,0.0270785322911065,mu:switcher_16,mu:switcher_16,11.223627525623286,0.0280736647436942,-0.0019515708010153787,-0.0009951324525877027
mu:switcher_17,11.73444889611831,0.0366672652050327,mu:switcher_17,mu:switcher_17,11.743961023393451,0.0463025437506152,-0.009512127275140614,-0.0096352785455825
