name,coef_py2step,se_py2step
mu:never,11.351126257082585,0.015840555701524907
mu:switcher_2,11.132746371554408,0.025864838049488244
mu:switcher_3,11.459391556507942,0.06151894609734516
mu:switcher_4,11.188307618986506,0.02610728687821034
mu:switcher_5,11.513187929955,0.045947214173486864
mu:switcher_6,11.171206583241094,0.049406031170656
mu:switcher_7,11.428169818811565,0.08378357264719487
mu:switcher_8,11.22385917247981,0.025566923570403813
mu:switcher_9,11.582676499559838,0.04400749250322671
mu:switcher_10,11.312566241657427,0.05615572528654821
mu:switcher_11,12.43419254658308,2.333362817051967
mu:switcher_12,11.311418633753453,0.04276570627603692
mu:switcher_13,11.58322656850555,0.04919225098308935
mu:switcher_14,11.293731751133366,0.0785169073307791
mu:switcher_15,11.465446640853571,0.04928060888682817
mu:switcher_16,11.227580465507707,0.028093539539623024
mu:switcher_17,11.737687394377776,0.045819389282810805
mu:switcher_18,11.497391328158773,0.055672237522848084
mu:switcher_19,11.497063420036785,0.04497551903997388
mu:switcher_20,11.334365273614683,0.03508560951119713
mu:switcher_21,11.527761759947525,0.06912348443215448
mu:switcher_22,11.462243410712961,0.06443610486671672
mu:switcher_23,11.524053911416406,0.07672141230514767
mu:switcher_24,11.38631455060374,0.02601939332989081
mu:switcher_25,11.696156462944892,0.06318041325243726
mu:switcher_26,11.486226587252053,0.0648031405014001
mu:switcher_27,11.424660924295456,0.05016074587378096
mu:switcher_28,11.383302710876858,0.03556027460308569
mu:switcher_29,11.792447403108953,0.07240562928825038
mu:switcher_30,11.507575511375064,0.049316561974065205
mu:switcher_31,11.495812336367086,0.0864352751346966
kappa:_cons,11.295335976386266,0.029086578425523
Delta_base:_cons,0.851289462767292,0.04772454695970094
phi:_cons,-2.455112160249287,0.19740760847335165
xb:unbalanced,11.371512205939926,0.00502721606914476
xb:unbalanced_choice,-0.47415995858031695,0.04828263295780527
