ster,country,spec3,covs2,suffix,N,coef_name,coef_value,coef_se
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,switcher_27,10.9914944804168,.2639901123491308
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,switcher_28,10.75226201810411,.0951855286448134
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,switcher_29,10.60879783444988,.1000503501444613
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,switcher_30,10.825847311024,.101941791627107
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,switcher_31,10.75526304039695,.1476913824421469
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,_cons,.0671664567762617,.0224796704933324
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,_cons,-.5246887748559074,.1019320346148805
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,_cons,10.83152675544075,.0705091862085282
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,period_2,.2014059927261063,.0080491384884284
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,period_3,.3474880584279693,.008317725676229
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,period_4,.513326211365474,.008806806669202
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,period_5,.9828025573645055,.009704673063334
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,female,.0547933966688735,.0064719633032875
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,age2,.0000685472878821,2.75264179562e-06
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,education_max,.0208888517277927,.0025465603123665
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,education_max2,.0023682488659684,.0001430603640908
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,unbalanced,10.46211261015803,.0142227890014125
grc_IDN_cuu_ca,IDN,cuu,ca,,92439,unbalanced_choice,.1158091266077314,.0234232960727755
grc_IDN_cuu_ca_n,IDN,cuu,ca,n,92439,Delta_never,.0713975041144832,.017615509810295
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,never,9.192549929466949,.0132283710358456
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_2,9.206617997927863,.0291223152146408
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_3,9.334527759720167,.058618667946574
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_4,9.316967558914985,.0359821118542534
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_5,9.033945692820247,.1115092215620372
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_6,8.874726727186752,.0685400010007353
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_7,9.673755376993867,.0760519348521456
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_8,9.090735189079677,.0418874474594203
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_9,9.220953325557826,.1113584336640068
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_10,9.428845696757838,.2984114127241371
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_11,9.956514923699133,.1939643169219174
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_12,9.560102264519596,.0904847954654576
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,switcher_13,9.269740440933369,.0894931741824241
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,_cons,.0950635516674473,.0210785548864148
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,_cons,-.2054980414184093,.1334133575615182
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,_cons,9.510127205680069,.0526481373567404
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,period_2,.2883658715712109,.0057392218667778
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,period_3,.5432966468696686,.0059681309500295
