traj_for_agg,n_pids,dbar_d,pi_d
-1,3170,.3504732,.28786778
1,4516,0,.41009808
2,450,.33333334,.040864512
3,1,.33333334,.000090810026
4,17,.66666669,.0015437704
5,28,.33333334,.0025426808
6,19,.66666669,.0017253904
7,623,.66666669,.056574646
8,2188,1,.19869234
