spec,n_obs,n_clusters,n_params,J_R,wald_min,phi_at_wald_min,p_at_wald_min,inv_ci90_lo,inv_ci90_hi,inv_ci95_lo,inv_ci95_hi,gmm_phi,gmm_se,gmm_ci90_lo,gmm_ci90_hi,gmm_ci95_lo,gmm_ci95_hi
covs_0,92450,29697,61,26,123.62033719133687,-2.3100000000000147,1.1435297153639112e-14,,,,,-2.445469542620093,0.0704574065695312,-2.561371976426972,-2.329567108813214,-2.5835660594963743,-2.3073730257438116
covs_trend,92450,29697,65,26,32.89807891740029,-0.37000000000005606,0.1650755218830291,-0.5400000000000524,-0.1900000000000599,-0.6400000000000503,-0.07000000000006246,-0.3094751023530654,0.0870241859365882,-0.452629888218753,-0.16632031648737783,-0.48004250678877824,-0.13890769791735255
covs_1,92439,29692,66,26,32.82715072377652,-0.37000000000005606,0.16717200753768147,-0.5400000000000524,-0.1800000000000601,-0.6400000000000503,-0.07000000000006246,-0.3097895414424325,0.0867682026200839,-0.45252323475247047,-0.16705584813239446,-0.4798552185777969,-0.13972386430706804
covs_2,92439,29692,67,26,33.82624329615019,-0.38000000000005585,0.13945514537998815,-0.5200000000000529,-0.24000000000005883,-0.6300000000000505,-0.1100000000000616,-0.3208208549002495,0.0861823588237563,-0.4625908351653286,-0.17905087463517036,-0.48973827819481186,-0.15190343160568712
covs_all,92439,29692,69,26,26.498262502986794,-0.6000000000000512,0.43599571042685437,-1.0900000000000407,-0.14000000000006096,-1.2300000000000377,-0.010000000000063736,-0.5256257839300001,0.1018488041746899,-0.6931670667973651,-0.35808450106263523,-0.7252494401123923,-0.32600212774760795
