country,spec,delta,phi_hat,stata_point,python_point,abs_err,rel_err,note
IDN,covs_0,never,-2.445469542620093,0.3044009000912821,0.6066028703802624,0.30220197028898027,0.99277620466417,
IDN,covs_0,never_md,-2.445469542620093,0.3044009000912821,0.5538036772747603,0.2494027771834782,0.8193233893483516,
IDN,covs_0,avg,-2.445469542620093,0.3810668446462184,0.6442042335598939,0.2631373889136755,0.6905281648367274,
IDN,covs_0,avg_md,-2.445469542620093,0.3810668446462184,0.5914050404543918,0.21033819580817342,0.5519719145428433,
IDN,covs_0,avg_overall,-2.445469542620093,0.3810668446462184,0.04584337103937851,-0.33522347360683985,-0.8796972980372002,
IDN,covs_0,always,-2.445469542620093,0.4599180190678719,0.2508482694426326,-0.20906974962523928,-0.4545804707738273,
IDN,covs_0,always_md,-2.445469542620093,0.4599180190678719,0.28737563411459727,-0.17254238495327462,-0.37515900182160916,
IDN,covs_trend,never,-0.3094751023530654,0.0863291372678291,0.1178869253296112,0.0315577880617821,0.3655519916048348,
IDN,covs_trend,never_md,-0.3094751023530654,0.0863291372678291,0.0822398332982195,-0.004089303969609603,-0.047368757513733414,
IDN,covs_trend,avg,-0.3094751023530654,0.0405190501454089,0.0727493340307599,0.03223028388535099,0.7954353265855842,
IDN,covs_trend,avg_md,-0.3094751023530654,0.0405190501454089,0.03710224199936819,-0.0034168081460407076,-0.08432596849578065,
IDN,covs_trend,avg_overall,-0.3094751023530654,0.0405190501454089,0.005177045631026169,-0.035342004514382734,-0.8722318116429794,
IDN,covs_trend,always,-0.3094751023530654,-0.0526370619953694,-0.006933355895431464,0.04570370609993793,0.8682799603055085,
IDN,covs_trend,always_md,-0.3094751023530654,-0.0526370619953694,-0.05855653726494388,-0.005919475269574481,-0.11245831444952667,
IDN,covs_1,never,-0.3097895414424325,0.0864666946862181,0.11792056628488148,0.03145387159866338,0.3637686361529996,
IDN,covs_1,never_md,-0.3097895414424325,0.0864666946862181,0.08238473480877398,-0.004081959877444127,-0.047208464394959106,
IDN,covs_1,avg,-0.3097895414424325,0.0405866720683987,0.07272243740058831,0.03213576533218961,0.791781234934286,
IDN,covs_1,avg_md,-0.3097895414424325,0.0405866720683987,0.0371866059244808,-0.0034000661439178986,-0.08377297202855007,
IDN,covs_1,avg_overall,-0.3097895414424325,0.0405866720683987,0.0051757474189300014,-0.0354109246494687,-0.8724766738645737,
IDN,covs_1,always,-0.3097895414424325,-0.0528119870202492,-0.007227562691255154,0.04558442432899405,0.8631454126411878,
IDN,covs_1,always_md,-0.3097895414424325,-0.0528119870202492,-0.05871306401265192,-0.005901076992402714,-0.11173745441806837,
IDN,covs_2,never,-0.3208208549002495,0.0913750053006115,0.12604939747191182,0.03467439217130032,0.37947349012157344,
IDN,covs_2,never_md,-0.3208208549002495,0.0913750053006115,0.08707247724403702,-0.004302528056574481,-0.04708648762776802,
IDN,covs_2,avg,-0.3208208549002495,0.0446187132479942,0.08003735332065273,0.03541864007265853,0.7938068468222972,
