seed,K,phi_lo,phi_hi,phi_cov,phi_n_islands,n_lo,n_hi,n_cov,n_n_islands,a_lo,a_hi,a_cov,a_n_islands,a_target,t_lo,t_hi,t_cov,t_n_islands
2000,14,-0.5599999999999978,-0.47999999999999776,True,1,0.06500000000000083,0.16500000000000092,True,1,-0.28999999999999937,-0.25999999999999934,True,1,-0.275,-0.7900000000000471,-0.5900000000000514,True,1
2001,14,-0.5399999999999978,-0.45999999999999774,True,1,0.06500000000000083,0.16000000000000103,True,1,-0.28499999999999936,-0.25499999999999934,True,1,-0.275,-0.7300000000000484,-0.560000000000052,True,1
2002,14,-0.5199999999999978,-0.47999999999999776,True,1,0.07500000000000107,0.120000000000001,True,1,-0.28499999999999936,-0.26999999999999935,True,1,-0.275,-0.7200000000000486,-0.6300000000000505,True,1
2003,14,-0.5399999999999978,-0.47999999999999776,True,1,0.06000000000000094,0.1250000000000009,True,1,-0.28999999999999937,-0.26999999999999935,True,1,-0.275,-0.7800000000000473,-0.6400000000000503,True,1
2004,14,-0.5199999999999978,-0.45999999999999774,True,1,0.06500000000000083,0.1150000000000011,True,1,-0.27999999999999936,-0.26499999999999935,True,1,-0.275,-0.6800000000000495,-0.5900000000000514,True,1
2005,14,-0.5399999999999978,-0.45999999999999774,True,1,0.06500000000000083,0.15500000000000114,True,1,-0.28499999999999936,-0.25499999999999934,True,1,-0.275,-0.7400000000000482,-0.5700000000000518,True,1
2006,14,-0.5399999999999978,-0.45999999999999774,True,1,0.05500000000000105,0.15000000000000102,True,1,-0.28999999999999937,-0.25999999999999934,True,1,-0.275,-0.7400000000000482,-0.560000000000052,True,1
2007,14,-0.5399999999999978,-0.4399999999999977,True,1,0.05000000000000093,0.15500000000000114,True,1,-0.28499999999999936,-0.24999999999999933,True,1,-0.275,-0.700000000000049,-0.5300000000000527,True,1
2008,14,-0.5599999999999978,-0.47999999999999776,True,1,0.06500000000000083,0.16000000000000103,True,1,-0.28999999999999937,-0.25999999999999934,True,1,-0.275,-0.7700000000000475,-0.5900000000000514,True,1
2009,14,,,False,0,,,False,0,,,False,0,-0.275,,,False,0
2010,14,-0.5199999999999978,-0.45999999999999774,True,1,0.06000000000000094,0.13500000000000112,True,1,-0.28499999999999936,-0.26499999999999935,True,1,-0.275,-0.700000000000049,-0.5800000000000516,True,1
2011,14,-0.5399999999999978,-0.47999999999999776,True,1,0.07500000000000107,0.140000000000001,True,1,-0.28999999999999937,-0.26999999999999935,True,1,-0.275,-0.7400000000000482,-0.610000000000051,True,1
2012,14,-0.5199999999999978,-0.47999999999999776,True,1,0.07500000000000107,0.120000000000001,True,1,-0.27999999999999936,-0.26499999999999935,True,1,-0.275,-0.6900000000000492,-0.6000000000000512,True,1
2013,14,-0.5399999999999978,-0.47999999999999776,True,1,0.07500000000000107,0.1450000000000009,True,1,-0.28999999999999937,-0.26999999999999935,True,1,-0.275,-0.700000000000049,-0.5800000000000516,True,1
2014,14,,,False,0,,,False,0,,,False,0,-0.275,,,False,0
2015,14,-0.5199999999999978,-0.47999999999999776,True,1,0.08500000000000085,0.13500000000000112,True,1,-0.28499999999999936,-0.26999999999999935,True,1,-0.275,-0.7100000000000488,-0.6200000000000507,True,1
2016,14,-0.5199999999999978,-0.47999999999999776,True,1,0.06500000000000083,0.130000000000001,True,1,-0.2949999999999994,-0.26999999999999935,True,1,-0.275,-0.7200000000000486,-0.610000000000051,True,1
2017,14,-0.5199999999999978,-0.4399999999999977,True,1,0.04500000000000082,0.1250000000000009,True,1,-0.28999999999999937,-0.26499999999999935,True,1,-0.275,-0.700000000000049,-0.5700000000000518,True,1
2018,14,-0.5399999999999978,-0.47999999999999776,True,1,0.07500000000000107,0.140000000000001,True,1,-0.27499999999999936,-0.25999999999999934,False,1,-0.275,-0.7200000000000486,-0.6000000000000512,True,1
2019,14,-0.5399999999999978,-0.45999999999999774,True,1,0.04500000000000082,0.1450000000000009,True,1,-0.28499999999999936,-0.25499999999999934,True,1,-0.275,-0.750000000000048,-0.5700000000000518,True,1
2020,14,-0.5999999999999979,-0.4999999999999978,True,1,0.07500000000000107,0.18000000000000105,True,1,-0.2949999999999994,-0.26499999999999935,True,1,-0.275,-0.8500000000000458,-0.6200000000000507,True,1
2021,14,-0.5399999999999978,-0.45999999999999774,True,1,0.06000000000000094,0.16000000000000103,True,1,-0.28999999999999937,-0.25999999999999934,True,1,-0.275,-0.700000000000049,-0.5400000000000524,True,1
2022,14,,,False,0,,,False,0,,,False,0,-0.275,,,False,0
2023,14,-0.5399999999999978,-0.45999999999999774,True,1,0.07000000000000095,0.1450000000000009,True,1,-0.28499999999999936,-0.25999999999999934,True,1,-0.275,-0.7200000000000486,-0.5800000000000516,True,1
2024,14,-0.5599999999999978,-0.47999999999999776,True,1,0.07000000000000095,0.15500000000000114,True,1,-0.27999999999999936,-0.25499999999999934,True,1,-0.275,-0.7400000000000482,-0.5700000000000518,True,1
2025,14,-0.5799999999999979,-0.4999999999999978,True,1,0.07000000000000095,0.15000000000000102,True,1,-0.2949999999999994,-0.26999999999999935,True,1,-0.275,-0.8500000000000458,-0.6700000000000497,False,1
2026,14,-0.5399999999999978,-0.47999999999999776,True,1,0.07000000000000095,0.1450000000000009,True,1,-0.28499999999999936,-0.26499999999999935,True,1,-0.275,-0.7600000000000477,-0.6200000000000507,True,1
2027,14,-0.5399999999999978,-0.47999999999999776,True,1,0.07000000000000095,0.1450000000000009,True,1,-0.28999999999999937,-0.26499999999999935,True,1,-0.275,-0.750000000000048,-0.6000000000000512,True,1
2028,14,-0.5199999999999978,-0.47999999999999776,True,1,0.07500000000000107,0.130000000000001,True,1,-0.27999999999999936,-0.26499999999999935,True,1,-0.275,-0.7100000000000488,-0.610000000000051,True,1
