parameter,true_value,n_reps,coverage,mc_se,n_empty,n_multi_island,mean_K
phi,-0.5,200,0.87,0.02378024390118823,15,0,14.0
Delta_never,0.1,200,0.905,0.02073342711661533,15,0,14.0
Delta_avg,-0.275,200,0.84,0.025922962793631443,15,0,14.0
Delta_always,-0.6499999999999999,200,0.895,0.021676600286945368,15,0,14.0
