country,spec,phi_hat,switcher_frac,beta_OLS,beta_GMM,alpha_base_OLS,alpha_never_OLS,alpha_always_OLS,mu_never_GMM,kappa_GMM
IDN,covs_0,-2.445469542620093,0.07116279069767442,0.9069863969336761,0.8483075961609827,11.228294227306003,11.351126886359111,11.747450122771266,11.35112688978651,11.28753291886754
IDN,covs_trend,-0.3094751023530654,0.07116279069767442,0.10621483301662958,0.0742032008422356,10.93398460755114,10.896268835832402,11.2926644724019,10.89252355584571,11.34156193795329
IDN,covs_1,-0.3097895414424325,0.07117125888423717,0.10646523593691719,0.0745764891694818,10.937390595936709,10.900412813230984,11.297163152419262,10.89693894620739,11.34653024311806
IDN,covs_2,-0.3208208549002495,0.07117125888423717,0.11488786695096394,0.079772851736345,10.950172016295998,10.915381477119801,11.311551820790461,10.91159949665422,11.36047432131574
IDN,covs_all,-0.5256257839300001,0.07117125888423717,0.09481037994512409,0.067237035036658,10.523662971660878,10.51440504842477,10.737535595546799,10.51264768065719,10.83201690798267
CHN,covs_0,-0.8975059138956505,0.04250696124526407,0.5596357381120612,0.4837478896353747,9.726763122196726,9.747182881527642,10.23203357111728,9.747182887992288,10.34053241551767
CHN,covs_trend,-0.0727305394379129,0.04250696124526407,0.06978650759807946,0.0825369388076146,9.44502703420204,9.342989286821048,9.82783517549411,9.342512893673693,9.768436512242188
CHN,covs_1,-0.0727629607531192,0.04250696124526407,0.06977824521641668,0.0825358373097803,9.442327165376106,9.340315843140207,9.82509778569434,9.339826678150102,9.765695652223274
CHN,covs_2,-0.1606168412126903,0.04250696124526407,0.0822152518331745,0.0946439113957939,9.616973450381133,9.557168720445086,10.040202757147203,9.556526669720496,10.00791565644205
CHN,covs_all,-0.20469001036356,0.04250696124526407,0.07976104478074243,0.0950560433614447,9.208030879572705,9.192996035792042,9.543366230454541,9.192550142003656,9.50983719818209
TZA,covs_0,-0.9984977927154336,0.11421778730243771,0.4598480675763073,0.3893901230565923,14.147506290900079,13.999038191788108,14.82997263192407,13.99903819601142,153.3257026564399
TZA,covs_trend,-0.514977367057874,0.11421778730243771,0.14692820071448798,0.1667357609655616,14.070178649315265,13.817403927916011,14.648338368051965,13.81746855638147,14.91084620887475
TZA,covs_1,-0.5227347619246775,0.11421778730243771,0.1473145971038417,0.1673058659847902,14.10397164838155,13.850194900688368,14.681300410127983,13.85025611257497,14.95502482432723
TZA,covs_2,-0.5337428582419165,0.11421778730243771,0.15098431091347025,0.1706317779402046,14.158636882840172,13.921344592983944,14.737831297157689,13.92143147657722,15.02679598810633
TZA,covs_all,-0.7190333696409438,0.11421778730243771,0.14942452580211354,0.1343558207740447,13.841906575512343,13.644746794867547,14.278561344970681,13.64395766122709,14.94028366850933
