spec,stata_pt,stata_ci95,stata_w,md_inv_d_min,md_inv_ci95,md_inv_w
covs_0,0.3044009000912821,"(0.19868725474061444, 0.4101145454419498)",0.2114272907013354,0.3300000000000016,"(nan, nan)",
covs_trend,0.0863291372678291,"(0.045382883121206696, 0.12727539141445152)",0.08189250829324482,0.09000000000000141,"(0.04000000000000137, 0.15000000000000147)",0.1100000000000001
covs_1,0.0864666946862181,"(0.045555915175731064, 0.12737747419670514)",0.08182155902097409,0.09000000000000141,"(0.04000000000000137, 0.15000000000000147)",0.1100000000000001
covs_2,0.0913750053006115,"(0.05073880187512385, 0.13201120872609917)",0.08127240685097531,0.10000000000000142,"(0.05000000000000138, 0.15000000000000147)",0.10000000000000009
covs_all,0.0714677765006221,"(0.036938052371661305, 0.10599750062958288)",0.06905944825792158,0.0700000000000014,"(0.010000000000001341, 0.15000000000000147)",0.14000000000000012
