traj_for_agg,n_pids,dbar_d,dbar0_d,pi_d
-1,5433,.8629670536213108,.8474139517761826,.602061170212766
1,421,0,0,.0466533687943262
2,30,.25,0,.0033244680851064
3,4,.25,0,.0004432624113475
4,33,.5,0,.003656914893617
5,1,.25,0,.0001108156028369
6,5,.75,0,.0005540780141844
7,5,.5,1,.0005540780141844
8,8,.75,1,.000886524822695
9,8,.75,1,.000886524822695
10,3076,1,1,.3408687943262411
