traj_for_agg,n_pids,dbar_d,dbar0_d,pi_d
-1,3170,.3504731861198738,.3378548895899053,.2878677806029786
1,4516,0,0,.410098074827461
2,450,.3333333432674408,0,.0408645114420632
3,1,.3333333432674408,0,.0000908100254268
4,17,.6666666865348816,0,.0015437704322557
5,28,.3333333432674408,1,.0025426807119506
6,19,.6666666865348816,1,.0017253904831093
7,623,.6666666865348816,1,.0565746458409008
8,2188,1,1,.198692335633854
