trajectory,delta_d_unrestricted
2,.1046346555688796
3,.1013286471600156
4,.1003672777550287
5,.1128512585437552
6,.1189226624650621
7,.0923911472109068
8,.1090095420396956
9,.10469671602647
10,.0960267937567084
11,.0749921464040224
12,.0924308048163814
13,.1038294976884788
