traj_for_agg,mu_d_raw_hh,mu_d_ster
-1,14.83529880035755,
1,14.5708624887931,13.64395764842912
2,14.68658064100477,13.83244689587433
3,14.50559425354004,13.02000029236311
4,14.65863076378317,13.76259828688337
5,14.82313081196376,13.85382315495512
6,15.34730645229942,14.36064175105387
7,15.23398080645174,13.89103267571955
8,,
