estname,N_base,N_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict
grc_chn_uf_cuu_c2_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_c2_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_c2_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_c2_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ca,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ca_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ca_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ca_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ca_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ct,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ct_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ct_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ct_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_chn_uf_cuu_ct_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c1,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c1_a,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c1_d,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c1_g,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c1_n,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c2,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c2_a,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c2_d,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c2_g,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_c2_n,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ca,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ca_a,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ca_d,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ca_g,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ca_n,69445,69445,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ct,69447,69447,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ct_a,69447,69447,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ct_d,69447,69447,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ct_g,69447,69447,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cnu_ct_n,69447,69447,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c1,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c1_a,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c1_d,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c1_g,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
