table,panel,row,col,old,new,delta
OLS_consumption_urban_unb.tex,Indonesia,Observations,4,93037,92244,-793.000
OLS_consumption_urban_unb.tex,Indonesia,Observations,5,6635,6555,-80.000
OLS_consumption_urban_unb.tex,Indonesia,Observations,6,93037,92244,-793.000
OLS_consumption_urban_unb.tex,Indonesia,Individuals,1,29715,29491,-224.000
OLS_consumption_urban_unb.tex,Indonesia,Individuals,2,29715,29491,-224.000
OLS_consumption_urban_unb.tex,Indonesia,Individuals,3,29715,29491,-224.000
OLS_consumption_urban_unb.tex,Indonesia,Individuals,4,29715,29491,-224.000
OLS_consumption_urban_unb.tex,Indonesia,Individuals,5,1327,1311,-16.000
OLS_consumption_urban_unb.tex,Indonesia,Individuals,6,29715,29491,-224.000
OLS_consumption_urban_unb.tex,China,Urban,1,0.422,0.474,+0.052
OLS_consumption_urban_unb.tex,China,Urban,2,0.422,0.474,+0.052
OLS_consumption_urban_unb.tex,China,Urban,3,0.422,0.474,+0.052
OLS_consumption_urban_unb.tex,China,Urban,4,0.422,0.474,+0.052
OLS_consumption_urban_unb.tex,China,Urban,5,0.018,0.009,-0.009
OLS_consumption_urban_unb.tex,China,Urban,6,0.105,0.142,+0.037
OLS_consumption_urban_unb.tex,China,Observations,1,109535,109535,+0.000
OLS_consumption_urban_unb.tex,China,Observations,2,109535,109535,+0.000
OLS_consumption_urban_unb.tex,China,Observations,3,109535,109535,+0.000
OLS_consumption_urban_unb.tex,China,Observations,4,109535,109535,+0.000
OLS_consumption_urban_unb.tex,China,Observations,5,4664,4664,+0.000
OLS_consumption_urban_unb.tex,China,Observations,6,109535,109535,+0.000
OLS_consumption_urban_unb.tex,China,Individuals,1,34746,34746,+0.000
OLS_consumption_urban_unb.tex,China,Individuals,2,34746,34746,+0.000
OLS_consumption_urban_unb.tex,China,Individuals,3,34746,34746,+0.000
OLS_consumption_urban_unb.tex,China,Individuals,4,34746,34746,+0.000
OLS_consumption_urban_unb.tex,China,Individuals,5,1166,1166,+0.000
OLS_consumption_urban_unb.tex,China,Individuals,6,34746,34746,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Urban,1,0.669,0.710,+0.041
OLS_consumption_urban_unb.tex,Tanzania,Urban,2,0.669,0.710,+0.041
OLS_consumption_urban_unb.tex,Tanzania,Urban,3,0.669,0.710,+0.041
OLS_consumption_urban_unb.tex,Tanzania,Urban,4,0.669,0.710,+0.041
OLS_consumption_urban_unb.tex,Tanzania,Urban,5,0.172,0.172,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Urban,6,0.094,0.110,+0.016
OLS_consumption_urban_unb.tex,Tanzania,Observations,1,29862,29862,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Observations,2,29862,29862,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Observations,3,29862,29862,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Observations,4,29862,29862,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Observations,5,3414,3414,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Observations,6,29862,29862,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Individuals,1,11010,11010,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Individuals,2,11010,11010,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Individuals,3,11010,11010,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Individuals,4,11010,11010,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Individuals,5,1138,1138,+0.000
OLS_consumption_urban_unb.tex,Tanzania,Individuals,6,11010,11010,+0.000
OLS_income_urban_unb.tex,Indonesia,Urban,1,0.489,0.473,-0.016
OLS_income_urban_unb.tex,Indonesia,Urban,2,0.513,0.495,-0.018
OLS_income_urban_unb.tex,Indonesia,Urban,3,0.488,0.474,-0.014
OLS_income_urban_unb.tex,Indonesia,Urban,4,0.270,0.257,-0.013
OLS_income_urban_unb.tex,Indonesia,Urban,5,0.091,0.092,+0.001
OLS_income_urban_unb.tex,Indonesia,Urban,6,0.043,0.049,+0.006
OLS_income_urban_unb.tex,Indonesia,Observations,1,58045,56706,-1339.000
OLS_income_urban_unb.tex,Indonesia,Observations,2,58045,56706,-1339.000
OLS_income_urban_unb.tex,Indonesia,Observations,3,58045,56706,-1339.000
OLS_income_urban_unb.tex,Indonesia,Observations,4,58045,56706,-1339.000
OLS_income_urban_unb.tex,Indonesia,Observations,5,3520,3465,-55.000
OLS_income_urban_unb.tex,Indonesia,Observations,6,58045,56706,-1339.000
OLS_income_urban_unb.tex,Indonesia,Individuals,1,19479,19123,-356.000
OLS_income_urban_unb.tex,Indonesia,Individuals,2,19479,19123,-356.000
OLS_income_urban_unb.tex,Indonesia,Individuals,3,19479,19123,-356.000
OLS_income_urban_unb.tex,Indonesia,Individuals,4,19479,19123,-356.000
OLS_income_urban_unb.tex,Indonesia,Individuals,5,704,693,-11.000
OLS_income_urban_unb.tex,Indonesia,Individuals,6,19479,19123,-356.000
OLS_income_urban_unb.tex,China,Urban,1,0.849,0.902,+0.053
OLS_income_urban_unb.tex,China,Urban,2,0.907,0.959,+0.052
OLS_income_urban_unb.tex,China,Urban,3,0.917,0.970,+0.053
OLS_income_urban_unb.tex,China,Urban,4,0.711,0.753,+0.042
OLS_income_urban_unb.tex,China,Urban,5,0.026,0.103,+0.077
OLS_income_urban_unb.tex,China,Urban,6,0.250,0.308,+0.058
OLS_income_urban_unb.tex,China,Observations,1,41405,41107,-298.000
OLS_income_urban_unb.tex,China,Observations,2,41405,41107,-298.000
OLS_income_urban_unb.tex,China,Observations,3,41405,41107,-298.000
OLS_income_urban_unb.tex,China,Observations,4,41405,41107,-298.000
OLS_income_urban_unb.tex,China,Observations,5,308,296,-12.000
OLS_income_urban_unb.tex,China,Observations,6,41405,41107,-298.000
OLS_income_urban_unb.tex,China,Individuals,1,17316,17199,-117.000
OLS_income_urban_unb.tex,China,Individuals,2,17316,17199,-117.000
OLS_income_urban_unb.tex,China,Individuals,3,17316,17199,-117.000
OLS_income_urban_unb.tex,China,Individuals,4,17316,17199,-117.000
OLS_income_urban_unb.tex,China,Individuals,5,77,74,-3.000
OLS_income_urban_unb.tex,China,Individuals,6,17316,17199,-117.000
OLS_income_urban_unb.tex,Tanzania,Urban,1,1.180,1.221,+0.041
OLS_income_urban_unb.tex,Tanzania,Urban,2,1.190,1.231,+0.041
OLS_income_urban_unb.tex,Tanzania,Urban,3,1.199,1.239,+0.040
OLS_income_urban_unb.tex,Tanzania,Urban,4,0.863,0.907,+0.044
OLS_income_urban_unb.tex,Tanzania,Urban,5,0.096,0.101,+0.005
OLS_income_urban_unb.tex,Tanzania,Urban,6,0.060,0.071,+0.011
OLS_income_urban_unb.tex,Tanzania,Observations,1,9339,9339,+0.000
OLS_income_urban_unb.tex,Tanzania,Observations,2,9339,9339,+0.000
OLS_income_urban_unb.tex,Tanzania,Observations,3,9339,9339,+0.000
OLS_income_urban_unb.tex,Tanzania,Observations,4,9339,9339,+0.000
OLS_income_urban_unb.tex,Tanzania,Observations,5,777,777,+0.000
OLS_income_urban_unb.tex,Tanzania,Observations,6,9339,9339,+0.000
OLS_income_urban_unb.tex,Tanzania,Individuals,1,3874,3874,+0.000
OLS_income_urban_unb.tex,Tanzania,Individuals,2,3874,3874,+0.000
OLS_income_urban_unb.tex,Tanzania,Individuals,3,3874,3874,+0.000
OLS_income_urban_unb.tex,Tanzania,Individuals,4,3874,3874,+0.000
OLS_income_urban_unb.tex,Tanzania,Individuals,5,259,259,+0.000
OLS_income_urban_unb.tex,Tanzania,Individuals,6,3874,3874,+0.000
