table,panel,row,col,old,new,delta
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Urban,3,0.180,0.203,+0.023
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Urban,4,0.155,0.175,+0.020
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Urban,5,0.022,0.016,-0.006
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Urban,6,0.088,0.106,+0.018
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Observations,1,39571,39568,-3.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Observations,2,39571,39568,-3.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Observations,3,39571,39568,-3.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Observations,4,39571,39568,-3.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Observations,5,4008,4008,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Observations,6,39571,39568,-3.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Individuals,1,9893,9892,-1.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Individuals,2,9893,9892,-1.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Individuals,3,9893,9892,-1.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Individuals,4,9893,9892,-1.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Individuals,5,1002,1002,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_bal.tex,China,Individuals,6,9893,9892,-1.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Urban,1,0.246,0.271,+0.025
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Urban,2,0.246,0.270,+0.024
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Urban,3,0.222,0.250,+0.028
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Urban,4,0.198,0.224,+0.026
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Urban,5,0.022,0.016,-0.006
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Urban,6,0.108,0.146,+0.038
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Observations,1,75748,75748,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Observations,2,75748,75748,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Observations,3,75748,75748,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Observations,4,75748,75748,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Observations,5,4008,4008,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Observations,6,75748,75748,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Individuals,1,23989,23989,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Individuals,2,23989,23989,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Individuals,3,23989,23989,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Individuals,4,23989,23989,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Individuals,5,1002,1002,+0.000
OLS_CHN_hukou_rural_only_consumption_urban_unb.tex,China,Individuals,6,23989,23989,+0.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Urban,1,0.606,0.628,+0.022
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Urban,2,0.649,0.671,+0.022
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Urban,3,0.493,0.522,+0.029
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Urban,4,0.479,0.506,+0.027
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Urban,5,0.014,0.109,+0.095
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Urban,6,0.300,0.359,+0.059
