cell,traj_for_agg,pi_d,dbar_d,dbar0_d,delta_point_varA,delta_point_varB,contrib_gap_varA,contrib_gap_varB,contrib_value_d0,contrib_value_allrural_varA,contrib_value_allrural_varB
IDN,-1,0.8907749823178741,0.4804944306650327,0.4362144585601936,0.1831860561381073,0.1831860561381073,0.08477164908950727,0.08477164908950727,0.007225497624154033,0.07840590682779634,0.07840590682779634
IDN,1,0.0386649152941969,0.0,0.0,0.06767659,0.06767659,0.0026167096197500924,0.0026167096197500924,0.0,0.0,0.0
IDN,2,0.0073086120373177,0.2000000029802322,0.0,0.0643208371549251,0.0643208371549251,0.00037607683434367437,0.00037607683434367437,9.401921033716282e-05,9.401921033716282e-05,9.401921033716282e-05
IDN,3,0.0007409652756728,0.2000000029802322,0.0,-0.0521927315602044,-0.0521927315602044,7.734600460979186e-06,7.734600460979186e-06,-7.734600460979186e-06,-7.734600460979186e-06,-7.734600460979186e-06
IDN,4,0.0059614024451854,0.4000000059604645,0.0,0.0761723779937386,0.0761723779937386,0.00027245651754986356,0.00027245651754986356,0.0001816376828775963,0.0001816376828775963,0.0001816376828775963
IDN,5,0.0005052035970496,0.2000000029802322,0.0,-0.0039856734970357,-0.0039856734970357,4.027153234744647e-07,4.027153234744647e-07,-4.0271532347446463e-07,-4.0271532347446463e-07,-4.0271532347446463e-07
IDN,6,0.0004715233572463,0.4000000059604645,0.0,0.1392850522277886,0.1392850522277886,3.940569287294348e-05,3.940569287294348e-05,2.627046256772964e-05,2.627046256772964e-05,2.627046256772964e-05
IDN,7,0.0003704826378364,0.4000000059604645,0.0,0.1698182926329009,0.1698182926329009,3.7748837029505486e-05,3.7748837029505486e-05,2.5165891978005337e-05,2.5165891978005337e-05,2.5165891978005337e-05
IDN,8,0.0059614024451854,0.6000000238418579,0.0,0.052743347168104,0.052743347168104,0.00012576972001361912,0.00012576972001361912,0.00018865459876157853,0.00018865459876157853,0.00018865459876157853
IDN,9,0.0012461688727224,0.2000000029802322,0.0,0.1181781804235121,0.1181781804235121,0.00011781597546410326,0.00011781597546410326,2.9453994414649197e-05,2.9453994414649197e-05,2.9453994414649197e-05
IDN,10,0.0002694419184265,0.4000000059604645,0.0,0.0676864525589703,0.0676864525589703,1.0942540468679567e-05,1.0942540468679567e-05,7.295027160293668e-06,7.295027160293668e-06,7.295027160293668e-06
IDN,12,0.0007072850358695,0.6000000238418579,0.0,-0.0311704815418129,-0.0311704815418129,1.3227849618849931e-05,1.3227849618849931e-05,-1.3227849618849931e-05,-1.3227849618849931e-05,-1.3227849618849931e-05
IDN,13,0.0006062443164595,0.4000000059604645,0.0,0.1871033925679469,0.1871033925679469,6.80582203246674e-05,6.80582203246674e-05,4.537214800994107e-05,4.537214800994107e-05,4.537214800994107e-05
IDN,14,0.0003031221582298,0.6000000238418579,0.0,0.2376729101837421,0.2376729101837421,2.881756847740029e-05,2.881756847740029e-05,4.322635701025302e-05,4.322635701025302e-05,4.322635701025302e-05
IDN,16,0.004715233572463,0.800000011920929,0.0,0.0414287490252802,0.0414287490252802,3.9069243325120505e-05,3.9069243325120505e-05,0.00015627698494402449,0.00015627698494402449,0.00015627698494402449
IDN,17,0.0018524131891819,0.2000000029802322,1.0,0.0240546683731273,0.0240546683731273,3.564734783182546e-05,3.564734783182546e-05,-3.564734783182546e-05,8.911837123952263e-06,8.911837123952263e-06
IDN,18,0.0005388838368529,0.4000000059604645,1.0,-0.0271594097552578,-0.0271594097552578,5.8543068614653305e-06,5.8543068614653305e-06,8.781460074108074e-06,-5.8543068614653305e-06,-5.8543068614653305e-06
IDN,20,0.0015492910309521,0.6000000238418579,1.0,0.0525320360430507,0.0525320360430507,3.255496297123324e-05,3.255496297123324e-05,-3.255496297123324e-05,4.8832449307917656e-05,4.8832449307917656e-05
IDN,21,0.0002020814388198,0.4000000059604645,1.0,0.0827937150207033,0.0827937150207033,1.003864373424716e-05,1.003864373424716e-05,-1.003864373424716e-05,6.692429322373051e-06,6.692429322373051e-06
IDN,22,0.0002357616786232,0.6000000238418579,1.0,-0.1760056763981954,-0.1760056763981954,2.4897237218237447e-05,2.4897237218237447e-05,1.659815649661283e-05,-2.489723721823745e-05,-2.489723721823745e-05
IDN,23,0.0001684011990165,0.6000000238418579,1.0,0.0416846355127664,0.0416846355127664,2.80789687300255e-06,2.80789687300255e-06,-2.80789687300255e-06,4.211845727913089e-06,4.211845727913089e-06
