cell,quantity,version,ci_lo_log,ci_hi_log,point_log,ci_lo_pct,ci_hi_pct,point_pct
CHN_hukou_bound,delta_dN_rural_hukou,inversion,0.09,0.13,0.11,9.417428370521037,13.882838332462184,11.62780704588713
CHN_hukou_bound,hukou_consumption_gain,bound,0.0180886568778618,0.026128059934689266,0.022108358406275532,1.8253247541955084,2.64723900442924,2.2354559179325584
CHN_national,misallocation,p3,0.07196247522330414,0.08471893605654518,0.07711465231541988,7.4615018618609,8.841111058495589,8.016591281634032
CHN_national,value_migration,p3,0.04200741449478879,0.04200741449478879,0.04200741449478879,4.290221131510769,4.290221131510769,4.290221131510769
CHN_rf,misallocation,p3,0.09424765340311228,0.11065996765255627,0.10110410206588184,9.883184166810095,11.701502103165318,10.639181344196874
CHN_rf,misallocation,with_dT,0.09424765340311228,0.11065996765255627,,9.883184166810095,11.701502103165318,
CHN_rf,value_migration,p3,0.03877078638267885,0.03877078638267885,0.03877078638267885,3.953218140851937,3.953218140851937,3.953218140851937
CHN_rf,value_migration,with_dT,0.04565603823695413,0.06893812756895049,,4.671431932893003,7.136991883616426,
CHN_uf,misallocation,p3,0.009011292047163912,0.01144069620571195,0.009349241899969316,0.905201597249098,1.1506391263911242,0.9393082581220886
CHN_uf,misallocation,with_dT,0.009011292047163912,6.493284102502345,,0.905201597249098,65968.95765265434,
CHN_uf,value_migration,p3,0.05115024330748765,0.05115024330748765,0.05115024330748765,5.24810096329,5.24810096329,5.24810096329
CHN_uf,value_migration,with_dT,-6.4316506930426565,6.554076182897938,,-99.83902086313027,70110.02379239915,
IDN,misallocation,p3,0.05517693020366098,0.05902545571504627,0.05577122959492987,5.672756515973085,6.080224387610604,5.735576435915368
IDN,misallocation,with_dT,0.05517693020366098,0.4574800307092453,,5.672756515973085,58.00871926049662,
IDN,value_migration,p3,0.05008003589194452,0.05008003589194452,0.05008003589194452,5.1355239163074575,5.1355239163074575,5.1355239163074575
IDN,value_migration,with_dT,-0.3494927261404465,0.4507918285177537,,-29.49543497513461,56.9554511593088,
TZA,misallocation,p3,0.13686653420756267,0.20574073511985744,0.16450264629875178,14.667509640660453,22.84346727369219,17.880668902214932
TZA,misallocation,with_dT,0.13686653420756267,0.895918081697408,,14.667509640660453,144.95836753715935,
TZA,value_migration,p3,0.04270974045516891,0.04270974045516891,0.04270974045516891,4.363492588436555,4.363492588436555,4.363492588436555
TZA,value_migration,with_dT,-0.6561796723201706,0.7985807909973338,,-48.11703475434578,122.2384661002335,
