cell,n_obs,n_pids,K,base,n_accept_2d,n_accept_3d,crosses_boundary,phi_open_below,phi_open_above,marginal_phi_lo,marginal_phi_hi,marginal_beta_lo,marginal_beta_hi,marginal_unb_lo,marginal_unb_hi,unb_ols,unb_se_ols,unb_gmm,unb_ols_minus_gmm,point_gap_varA,point_gap_varB,xcheck_gap_unrestricted,xcheck_gap_diff,hull_wmm_p3_v1_lo,hull_wmm_p3_v1_hi,hull_wms_p3_v1_lo,hull_wms_p3_v1_hi,hull_wmm_full_v1_lo,hull_wmm_full_v1_hi,hull_wms_full_v1_lo,hull_wms_full_v1_hi,hull_wmm_p3_v2_lo,hull_wmm_p3_v2_hi,hull_wms_p3_v2_lo,hull_wms_p3_v2_hi,hull_wmm_full_v2_lo,hull_wmm_full_v2_hi,hull_wms_full_v2_lo,hull_wms_full_v2_hi
IDN,92438,29691,26,2,1317,34701,True,False,False,-1.18,0.04999999999999982,-0.010000000000000009,0.17000000000000004,0.15901697412765028,0.2073551381485643,0.1831860561381073,0.006774509327753588,0.11857684,0.06460921613810729,0.09195448561250666,0.08904424730729632,0.08946439671192667,0.00042014940463035166,0.07712337539867478,0.10168262338360222,0.006890724761645616,0.009516511935015187,0.07892328933749777,0.5760801061928371,0.006890724761645616,0.009516511935015187,0.07932560390560814,0.10084025951883523,0.006855764845302942,0.009649254835249248,0.07975975122871155,0.579117866801987,0.006855764845302942,0.009649254835249248
TZA,29862,11010,5,2,692,16717,True,False,False,-1.48,-0.3899999999999999,0.08999999999999997,0.19000000000000006,0.4471763731979304,0.5621502802430516,0.504663326720491,0.02076368639073866,0.37031001,0.13435331672049095,0.34206859514991583,0.2109855668193073,0.21110503981726692,0.00011947299795961319,0.17034072621915208,0.2866613186393246,0.001372391081507968,0.0027264661520457006,0.194251116000814,6.8275344664394835,0.001372391081507968,0.0027264661520457006,0.16799400735602774,0.28301248389142913,0.0013165006778992627,0.0027045354753713435,0.19610264079116788,6.637150082487006,0.0013165006778992627,0.0027045354753713435
CHN_rf,80742,25491,10,2,247,5288,False,False,False,-0.41000000000000014,0.17999999999999972,0.06999999999999984,0.1499999999999999,0.2667006256048229,0.3096566875780108,0.28817865659141684,0.011063682148531987,0.18325322,0.10492543659141684,0.1416303463357549,0.1416303463357549,0.14183734635298023,0.000207000017225345,0.1272698321345742,0.15910754780417763,0.007036775761829557,0.008824881456694477,0.1272698321345742,0.15910754780417763,0.007036775761829557,0.008824881456694477,0.1255247183936515,0.16198552180638598,0.006907636074643188,0.00899971805521466,0.1255247183936515,0.16198552180638598,0.006907636074643188,0.00899971805521466
CHN_uf,28264,9024,6,4,20977,498871,True,True,True,-inf,inf,0.010000000000000231,0.45999999999999996,0.223514531466457,0.34854330864028565,0.2860289200533713,0.024293926078263837,0.09573032,0.19029860005337135,1.3168252096118254,0.02470634675721557,0.024723205749135696,1.6858991920127436e-05,0.019623825464390496,inf,-inf,inf,0.019623825464390496,inf,-inf,inf,0.020192600216414985,inf,-inf,inf,0.020213917955370673,inf,-inf,inf
