cell,quantity,version,ci_lo_log,ci_hi_log,point_log,ci_lo_pct,ci_hi_pct,point_pct,ci_source
CHN_hukou_bound,delta_dN_rural_hukou,gmm_ci,0.05940285,0.15160362,0.10550323,6.120266013306197,16.369887804025566,11.126969391816658,grc_CHN_rf_cuu_ca_n.ster
CHN_hukou_bound,hukou_consumption_gain,gmm_ci,0.01193736542372881,0.030465673136896992,0.021201518275532374,1.200890013229278,3.093450069390806,2.1427867281420587,grc_CHN_rf_cuu_ca_n.ster
CHN_national,misallocation,point_varA,,,0.4488868564387032,,,56.656740015722875,
CHN_national,misallocation,point_varB,,,0.11106038625472522,,,11.746238418526337,
CHN_national,value_migration_allrural,point_varA,,,-0.2471153460796383,,,-21.89494027890398,
CHN_national,value_migration_allrural,point_varB,,,0.08314048756834083,,,8.669446488772953,
CHN_national,value_migration_d0,point,,,0.006661312195702845,,,0.668354808176035,
CHN_rf,misallocation,point_varA,,,0.1416303463357549,,,15.215067309209257,
CHN_rf,misallocation,point_varB,,,0.1416303463357549,,,15.215067309209257,
CHN_rf,value_migration_allrural,point_varA,,,0.0700543953120259,,,7.25665222581103,
CHN_rf,value_migration_allrural,point_varB,,,0.05980369820167322,,,6.1628126579020055,
CHN_rf,value_migration_d0,point,,,0.007809524869403871,,,0.7840098746073789,
CHN_uf,misallocation,point_varA,,,1.3168252096118254,,,273.15556446269204,
CHN_uf,misallocation,point_varB,,,0.02470634675721557,,,2.501407761768712,
CHN_uf,value_migration_allrural,point_varA,,,-1.1430566002701206,,,-68.11570446097856,
CHN_uf,value_migration_allrural,point_varB,,,0.1490622625844893,,,16.07452579589369,
CHN_uf,value_migration_d0,point,,,0.003417840424280764,,,0.34236879008797755,
IDN,misallocation,point_varA,,,0.09195448561250666,,,9.631492284304596,
IDN,misallocation,point_varB,,,0.08904424730729632,,,9.3129023272076,
IDN,value_migration_allrural,point_varA,,,0.07593912415327911,,,7.889689339620816,
IDN,value_migration_allrural,point_varB,,,0.07884936245848945,,,8.204131374972054,
IDN,value_migration_d0,point,,,0.008042397519335947,,,0.8074824470116516,
TZA,misallocation,point_varA,,,0.34206859514991583,,,40.78568663547954,
TZA,misallocation,point_varB,,,0.2109855668193073,,,23.489453147685996,
TZA,value_migration_allrural,point_varA,,,-0.07487247379233372,,,-7.213819451871246,
TZA,value_migration_allrural,point_varB,,,0.05621055453827479,,,5.782038917358837,
TZA,value_migration_d0,point,,,0.0020704739264409957,,,0.2072618837653161,
