J_target,rep,J_actual,N_obs,n_active_z,wall_seconds,rc,start_clock,end_clock
5000,1,5000,15650,28,479.915,0, 7 May 2026 08:20:05, 7 May 2026 08:28:05
5000,2,5000,15650,28,1716.041,0, 7 May 2026 08:28:05, 7 May 2026 08:56:41
5000,3,5000,15650,28,1666.659,0, 7 May 2026 08:56:41, 7 May 2026 09:24:28
5000,4,5000,15650,28,1728.723,0, 7 May 2026 09:24:28, 7 May 2026 09:53:17
5000,5,5000,15650,28,1709.319,0, 7 May 2026 09:53:17, 7 May 2026 10:21:46
2000,1,2000,6241,21,751.415,0, 7 May 2026 10:21:47, 7 May 2026 10:34:18
