timestamp,cpu_pct,cpu_perf_pct,mem_used_gb,mem_commit_gb,mem_commit_limit_gb,pagefile_pct,stata_pid,stata_ws_gb,stata_cpu_sec,stata_threads
# logical_cores=22
# header_repeated_below
timestamp,cpu_pct,cpu_perf_pct,mem_used_gb,mem_commit_gb,mem_commit_limit_gb,pagefile_pct,stata_pid,stata_ws_gb,stata_cpu_sec,stata_threads
2026-05-05 21:00:45,4.8,150.2,22.72,39.51,71.99,3.63,,,,
2026-05-05 21:00:54,4.7,150.2,22.76,39.54,71.99,3.63,,,,
2026-05-05 21:01:02,3.1,131.2,22.73,39.51,71.99,3.63,,,,
2026-05-05 21:01:10,4.9,130.5,22.7,39.48,71.99,3.63,,,,
2026-05-05 21:01:18,10.4,188.9,22.77,39.56,71.99,3.63,46456,0.061,0.4,8
2026-05-05 21:01:26,19.3,187.9,23.13,39.88,71.99,3.63,46456,0.295,8.8,9
2026-05-05 21:01:35,15.2,183.1,23.12,39.88,71.99,3.63,46456,0.339,16.8,9
2026-05-05 21:01:43,6.5,161.3,23.05,39.82,71.99,3.63,46456,0.368,25,9
2026-05-05 21:01:51,7,148.6,23.05,39.84,71.99,3.63,46456,0.397,33.1,9
2026-05-05 21:01:59,6,144.8,23.1,39.89,71.99,3.63,46456,0.447,41.2,9
2026-05-05 21:02:08,9.6,118.3,23.13,39.92,71.99,3.63,46456,0.486,49.2,9
2026-05-05 21:02:16,7.2,120.7,23.17,39.96,71.99,3.63,46456,0.52,57.3,9
2026-05-05 21:02:24,6.1,150,23.24,40.03,71.99,3.63,46456,0.542,65.3,6
2026-05-05 21:02:32,5.2,89.2,23.22,40.01,71.99,3.63,46456,0.553,73.4,5
2026-05-05 21:02:41,6.2,98.3,23.22,40.01,71.99,3.63,46456,0.564,81.5,5
2026-05-05 21:02:49,6,120.6,23.29,40.07,71.99,3.63,46456,0.579,89.5,5
2026-05-05 21:02:57,12.4,134.9,23.35,40.16,71.99,3.63,46456,0.616,97.6,5
2026-05-05 21:03:05,12,106.5,23.32,40.1,71.99,3.63,46456,0.623,105.8,5
2026-05-05 21:03:14,9.5,103.6,23.31,40.09,71.99,3.63,46456,0.623,113.9,5
2026-05-05 21:03:22,9.7,99.4,23.3,40.08,71.99,3.63,46456,0.623,122,4
2026-05-05 21:03:30,11.3,123.1,23.32,40.11,71.99,3.63,46456,0.627,130.1,4
2026-05-05 21:03:39,10.5,119.8,23.31,40.08,71.99,3.63,46456,0.626,138.2,3
2026-05-05 21:03:47,6.5,95.5,23.29,40.07,71.99,3.63,46456,0.628,146.2,3
2026-05-05 21:03:55,15.7,169.5,23.35,40.13,71.99,3.63,46456,0.631,154.2,3
2026-05-05 21:04:03,11.5,117.4,23.31,40.09,71.99,3.63,46456,0.638,162.4,3
2026-05-05 21:04:12,10.2,116.3,23.3,40.09,71.99,3.63,46456,0.643,170.5,3
2026-05-05 21:04:20,12.1,112.5,23.31,40.09,71.99,3.63,46456,0.649,178.7,3
2026-05-05 21:04:28,12.2,108.4,23.34,40.12,71.99,3.63,46456,0.654,186.8,3
2026-05-05 21:04:36,10.7,104.9,23.31,40.09,71.99,3.63,46456,0.659,194.9,3
2026-05-05 21:04:45,10.7,117.7,23.32,40.1,71.99,3.63,46456,0.665,202.9,3
2026-05-05 21:04:53,9.5,105.5,23.32,40.1,71.99,3.63,46456,0.669,211,3
2026-05-05 21:05:01,10.3,114.1,23.37,40.16,71.99,3.63,46456,0.675,219,3
2026-05-05 21:05:10,10.9,118.7,23.34,40.12,71.99,3.63,46456,0.679,227.1,3
2026-05-05 21:05:18,12,115.6,23.34,40.12,71.99,3.63,46456,0.684,235.2,3
2026-05-05 21:05:26,10.9,152.7,23.39,40.17,71.99,3.63,46456,0.689,243.3,3
2026-05-05 21:05:34,8.5,110.9,23.36,40.13,71.99,3.63,46456,0.693,251.4,3
2026-05-05 21:05:43,12,110.9,23.36,40.14,71.99,3.63,46456,0.697,259.6,3
2026-05-05 21:05:51,10,118.5,23.45,40.22,71.99,3.63,46456,0.702,267.8,3
2026-05-05 21:05:59,10.6,110.8,23.42,40.21,71.99,3.63,46456,0.706,275.8,3
2026-05-05 21:06:07,11.4,113.3,23.41,40.21,71.99,3.63,46456,0.71,284,3
2026-05-05 21:06:16,8.1,127.7,23.47,40.23,71.99,3.63,46456,0.687,292.1,3
2026-05-05 21:06:24,10,156.1,23.52,40.28,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:06:32,6.5,91.5,23.53,40.27,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:06:40,2,92.4,23.52,40.25,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:06:49,1,93.2,23.51,40.23,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:06:57,11.1,129.1,23.54,40.26,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:07:05,1.5,117.7,23.52,40.26,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:07:13,5.7,101.9,23.5,40.24,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:07:22,3.3,122,23.51,40.24,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:07:30,0.6,121.7,23.51,40.25,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:07:38,6.8,101.5,23.49,40.23,71.99,3.63,46456,0.689,298.6,7
2026-05-05 21:07:46,4,115.6,23.49,40.22,71.99,3.63,46456,0.689,298.6,7
