rep,J_target,J_actual,N_obs,n_active_z,wall_seconds,rc
1,5000,5000,15650,28,447.638,0
2,5000,5000,15650,28,1462.295,0
3,5000,5000,15650,28,1553.308,0
4,5000,5000,15650,28,1458.841,0
5,5000,5000,15650,28,1502.449,0
