index | b_base                   | b_new                    | equal
    1 |   9.3399569271072771e+00 |   9.3399569271072771e+00 | 1
    2 |   9.4386986162861355e+00 |   9.4386986162861355e+00 | 1
    3 |   9.6150477687984459e+00 |   9.6150477687984459e+00 | 1
    4 |   9.5906349381762848e+00 |   9.5906349381762848e+00 | 1
    5 |   9.4308866979787247e+00 |   9.4308866979787247e+00 | 1
    6 |   9.3704706531635900e+00 |   9.3704706531635900e+00 | 1
    7 |   1.0064823303815347e+01 |   1.0064823303815347e+01 | 1
    8 |   9.2848619079316030e+00 |   9.2848619079316030e+00 | 1
    9 |   9.4526221056074142e+00 |   9.4526221056074142e+00 | 1
   10 |   9.7041494299264279e+00 |   9.7041494299264279e+00 | 1
   11 |   1.0091032657451281e+01 |   1.0091032657451281e+01 | 1
   12 |   9.8503753947415316e+00 |   9.8503753947415316e+00 | 1
   13 |   9.4983281699092554e+00 |   9.4983281699092554e+00 | 1
   14 |   8.3324000404798662e-02 |   8.3324000404798662e-02 | 1
   15 |  -7.5818238114140499e-02 |  -7.5818238114140499e-02 | 1
   16 |   9.7660988878849615e+00 |   9.7660988878849615e+00 | 1
   17 |   2.9946581848344256e-01 |   2.9946581848344256e-01 | 1
   18 |   5.4653573232733788e-01 |   5.4653573232733788e-01 | 1
   19 |   7.7270227277887771e-01 |   7.7270227277887771e-01 | 1
   20 |   5.1658697778592718e-03 |   5.1658697778592718e-03 | 1
   21 |   9.3867793134931610e+00 |   9.3867793134931610e+00 | 1
   22 |   4.1180135338889723e-01 |   4.1180135338889723e-01 | 1
