country,spec,phi,phi_se,Delta_base,Delta_base_se,kappa,kappa_se,J,J_p,N,converged
CHN,covs_0,-.8975059138956505,.0562118095133528,.4837478896353747,.0257211454665845,10.34053241551767,.3999630623362445,98.93412763052041,.,109535,Y
CHN,covs_trend,-.0727305394379129,.1344486048668558,.0825369388076146,.0213509369838583,9.768436512242189,.0469991479885924,17.09343883693575,.,109535,Y
CHN,covs_1,-.0727629607531192,.1343625187154002,.0825358373097803,.0213510654376208,9.765695652223274,.0471364127218479,17.09364008511151,.,109535,Y
CHN,covs_2,-.1606168412126903,.1172385217315449,.0946439113957939,.0209864441424035,10.00791565644205,.0550573059666848,18.28981539910962,.,109535,Y
CHN,covs_all,-.20469001036356,.1335967208801854,.0950560433614447,.0210800517651787,9.50983719818209,.052614861304208,17.54025547576003,.,109535,Y
TZA,covs_0,-.9984977927154335,.0643790856824443,.3893901230565923,.0225469228039112,153.3257026564399,5950.885809920265,63.02706173919494,.,29864,N
TZA,covs_trend,-.514977367057874,.0911117443220168,.1667357609655616,.0198732635192433,14.91084620887475,.1356083919641916,6.650067321326041,.,29864,Y
TZA,covs_1,-.5227347619246775,.0915602201066529,.1673058659847902,.0198581534500403,14.95502482432723,.1406514528184901,6.51766609939073,.,29864,Y
TZA,covs_2,-.5337428582419165,.0929622359304642,.1706317779402046,.0201085688462941,15.02679598810633,.1490753441017564,6.659469553498971,.,29864,Y
TZA,covs_all,-.7190333696409438,.1242771885593739,.1343558207740447,.018723577117827,14.94028366850933,.469952019389007,3.832946242182642,.,29864,Y
