country,spec,phi,Delta_base,kappa,mu_never,switcher_codes,mu_switchers,share_switchers
IDN,covs_0,-2.445469542620093,.8483075961609827,11.28753291886754,11.35112688978651,,"",NA
IDN,covs_trend,-.3094751023530654,.0742032008422356,11.34156193795329,10.89252355584571,,"",NA
IDN,covs_1,-.3097895414424325,.0745764891694818,11.34653024311806,10.89693894620739,,"",NA
IDN,covs_2,-.3208208549002495,.079772851736345,11.36047432131574,10.91159949665422,,"",NA
IDN,covs_all,-.5256257839300001,.067237035036658,10.83201690798267,10.51264768065719,,"",NA
CHN,covs_0,-.8975059138956505,.4837478896353747,10.34053241551767,9.747182887992288,,"",NA
CHN,covs_trend,-.0727305394379129,.0825369388076146,9.768436512242189,9.342512893673693,,"",NA
CHN,covs_1,-.0727629607531192,.0825358373097803,9.765695652223274,9.339826678150102,,"",NA
CHN,covs_2,-.1606168412126903,.0946439113957939,10.00791565644205,9.556526669720496,,"",NA
CHN,covs_all,-.20469001036356,.0950560433614447,9.50983719818209,9.192550142003657,,"",NA
TZA,covs_0,-.9984977927154335,.3893901230565923,153.3257026564399,13.99903819601142,,"",NA
TZA,covs_trend,-.514977367057874,.1667357609655616,14.91084620887475,13.81746855638147,,"",NA
TZA,covs_1,-.5227347619246775,.1673058659847902,14.95502482432723,13.85025611257497,,"",NA
TZA,covs_2,-.5337428582419165,.1706317779402046,15.02679598810633,13.92143147657722,,"",NA
TZA,covs_all,-.7190333696409438,.1343558207740447,14.94028366850933,13.64395766122709,,"",NA
